taxon,DESeq2 mean abundance,lfc,se,Analysis,Comparison
Campylobacter concisus,11.27557621,0.707662133,0.156810063,Visit,Dis-fol
Campylobacter jejuni,1239.012012,1.43335678,0.196466205,Visit,Dis-fol
Cedecea davisae,96.08567809,-1.594280632,0.409222646,Visit,Dis-fol
Chimaeribacter arupi,265.7699919,-1.296711773,0.489446556,Visit,Dis-fol
Citrobacter europaeus,525.9395048,-1.098989674,0.234413524,Visit,Dis-fol
Citrobacter gillenii,322.5391849,-1.172980633,0.216392957,Visit,Dis-fol
Citrobacter portucalensis,340.1719203,-1.229556012,0.231939561,Visit,Dis-fol
Citrobacter werkmanii,2089.534058,-1.604877915,0.257108848,Visit,Dis-fol
Citrobacter amalonaticus,1303.37001,-1.532723663,0.248639596,Visit,Dis-fol
Citrobacter farmeri,876.1094012,-1.422168316,0.262096645,Visit,Dis-fol
Citrobacter sedlakii,210.5534375,-1.421186745,0.3947664,Visit,Dis-fol
Citrobacter sp009363175,141.6448947,-1.135704697,0.388709471,Visit,Dis-fol
Citrobacter koseri,7889.606228,-1.907687189,0.256828248,Visit,Dis-fol
Clostridium neonatale,1187.34548,0.705881161,0.234271789,Visit,Dis-fol
Clostridium saudiense,61.21684281,0.934673085,0.200073516,Visit,Dis-fol
Clostridium sp000435835,76.85549058,1.277260467,0.199878233,Visit,Dis-fol
Clostridium sp001916075,39.0069181,1.438004001,0.183999826,Visit,Dis-fol
Clostridium sp900540255,223.5354754,0.723531148,0.228458497,Visit,Dis-fol
Collinsella sp002391315,39.87249523,1.352628451,0.360038589,Visit,Dis-fol
Collinsella sp900757285,101.3136789,1.483363142,0.603401006,Visit,Dis-fol
Cronobacter malonaticus,248.3099172,-1.256706223,0.469410537,Visit,Dis-fol
Cronobacter sakazakii,170.8196257,-1.09647825,0.423858415,Visit,Dis-fol
Cutibacterium acnes,371.2903299,-1.428634871,0.330835065,Visit,Dis-fol
Dermabacter hominis,121.280415,0.585029311,0.211287607,Visit,Dis-fol
Dorea sp900550865,227.6876324,1.022882741,0.211026967,Visit,Dis-fol
Dysosmobacter sp900770295,199.6120117,-1.112930437,0.431931854,Visit,Dis-fol
Edwardsiella tarda,139.1353121,-1.201210198,0.453816954,Visit,Dis-fol
Enterobacter asburiae,1027.537389,-1.150856177,0.363453935,Visit,Dis-fol
Enterobacter bugandensis,544.5685244,-1.407707266,0.246217417,Visit,Dis-fol
Enterobacter cancerogenus,136.6849463,-1.340198908,0.467734898,Visit,Dis-fol
Enterobacter chengduensis,1537.765751,-1.295468965,0.253727401,Visit,Dis-fol
Enterobacter cloacae,682.5384825,-1.519069964,0.238390807,Visit,Dis-fol
Enterobacter cloacae,658.8107262,-1.416785143,0.238290153,Visit,Dis-fol
Enterobacter cloacae,199.9508917,-1.439372855,0.222834067,Visit,Dis-fol
Enterobacter hormaechei,3511.391081,-1.567126758,0.289442613,Visit,Dis-fol
Enterobacter kobei,649.0693425,-1.113759976,0.234053764,Visit,Dis-fol
Enterobacter ludwigii,130.5344512,-0.951256016,0.206124792,Visit,Dis-fol
Enterobacter mori,202.6314339,-1.260182203,0.217583075,Visit,Dis-fol
Enterobacter sichuanensis,212.2408133,-1.244388521,0.447582039,Visit,Dis-fol
Enterobacter timonensis,351.6529762,-1.485091261,0.220303585,Visit,Dis-fol
Enterobacter kobei,373.9993498,-1.404920787,0.22890732,Visit,Dis-fol
Enterococcus devriesei,478.2453803,-1.355815726,0.223769273,Visit,Dis-fol
Enterococcus gilvus,12712.55289,-2.066256784,0.299040045,Visit,Dis-fol
Enterococcus durans,1827.765131,-2.065978321,0.609598751,Visit,Dis-fol
Enterococcus faecium,239026.4612,-2.667774545,0.423565195,Visit,Dis-fol
Enterococcus hirae,551.0913369,-2.290857323,0.596584443,Visit,Dis-fol
Enterococcus lactis,13632.38783,-2.479052062,0.612405917,Visit,Dis-fol
Enterococcus pernyi,681.8937872,-2.657014203,0.581308927,Visit,Dis-fol
Enterococcus asini,85.77383107,-1.463895258,0.528817787,Visit,Dis-fol
Enterococcus massiliensis,309.2311187,-1.360787756,0.490142603,Visit,Dis-fol
Escherichia albertii,15819.33451,-1.597530325,0.475854195,Visit,Dis-fol
Escherichia coli,191528.168,-1.823853839,0.542947223,Visit,Dis-fol
Escherichia fergusonii,23260.18339,-1.636677866,0.47433451,Visit,Dis-fol
Escherichia marmotae,25795.09074,-1.661644759,0.438273912,Visit,Dis-fol
Escherichia sp000208585,12107.56947,-1.63359989,0.467572787,Visit,Dis-fol
F0422 sp003999875,3723.033338,-1.818887407,0.438648905,Visit,Dis-fol
Faecalibacillus faecis,232.748764,1.321905814,0.20997115,Visit,Dis-fol
Faecalibacillus intestinalis,822.0908012,2.483296022,0.62161871,Visit,Dis-fol
Faecalibacillus sp900544435,182.1249431,1.965986812,0.562917436,Visit,Dis-fol
Fusicatenibacter saccharivorans,2446.347017,1.673884583,0.474798743,Visit,Dis-fol
Fusicatenibacter sp900772675,270.5336449,0.979772145,0.202841002,Visit,Dis-fol
Fusobacterium animalis,1918.234131,0.764021524,0.279448655,Visit,Dis-fol
Fusobacterium sp000235465,69.7922142,0.639956791,0.200955243,Visit,Dis-fol
Haemophilus influenzae,104.6097588,1.473898756,0.177759732,Visit,Dis-fol
Haemophilus sp002998595,207.3066604,2.117994737,0.187313117,Visit,Dis-fol
Haemophilus parainfluenzae,157.9012421,1.59082253,0.197850187,Visit,Dis-fol
Haemophilus parainfluenzae,28.08075737,1.211579872,0.174002613,Visit,Dis-fol
Haemophilus parainfluenzae,58.66301406,1.561168708,0.182589929,Visit,Dis-fol
Haemophilus parainfluenzae,37.72760494,0.679561431,0.175526363,Visit,Dis-fol
Haemophilus parainfluenzae,43.02258117,1.132676126,0.181531545,Visit,Dis-fol
Haemophilus parainfluenzae,73.28538919,0.545251757,0.202408369,Visit,Dis-fol
Haemophilus sp900756155,41.01676861,0.734868132,0.184379212,Visit,Dis-fol
Haemophilus sp900756875,24.83946629,1.062037883,0.17022796,Visit,Dis-fol
Hafnia alvei,27.78147515,-1.663207767,0.481171606,Visit,Dis-fol
Hafnia paralvei,40.24214302,-1.273706454,0.427296504,Visit,Dis-fol
Holdemania massiliensis,42.84058452,-0.889625663,0.19563231,Visit,Dis-fol
Klebsiella aerogenes,3599.547729,-1.689919372,0.246117953,Visit,Dis-fol
Klebsiella pneumoniae,175650.1684,-2.588760486,0.635867145,Visit,Dis-fol
Klebsiella quasipneumoniae,10235.65839,-2.172812108,0.294993365,Visit,Dis-fol
Klebsiella quasivariicola,3213.362668,-1.80553121,0.262201492,Visit,Dis-fol
Klebsiella variicola,33877.03851,-1.844225976,0.305829666,Visit,Dis-fol
Klebsiella grimontii,4125.243859,-1.828985481,0.293725932,Visit,Dis-fol
Klebsiella indica,1186.088816,-1.43714104,0.237572055,Visit,Dis-fol
Klebsiella michiganensis,4083.906694,-1.558890867,0.27353468,Visit,Dis-fol
Klebsiella oxytoca,726.0522522,-1.510338459,0.237025842,Visit,Dis-fol
Kluyvera ascorbata,1968.783493,-1.751596278,0.265057469,Visit,Dis-fol
Kluyvera ascorbata,705.8161733,-2.041138961,0.401737746,Visit,Dis-fol
Kluyvera sp902363335,201.3609954,-1.059730785,0.202894458,Visit,Dis-fol
Lachnospira eligens,513.416572,0.56559511,0.22178166,Visit,Dis-fol
Lachnospira rogosae,218.8064687,0.965086931,0.200418465,Visit,Dis-fol
Lachnospira sp000436475,536.5828097,1.053699353,0.202106804,Visit,Dis-fol
Lachnospira sp000437735,95.15858821,1.558836198,0.443621333,Visit,Dis-fol
Lachnospira sp003537285,150.291158,1.997594553,0.544935575,Visit,Dis-fol
Laribacter hongkongensis,187.5714202,-0.814407182,0.321836981,Visit,Dis-fol
Leclercia adecarboxylata,134.0825381,-1.602162314,0.437693556,Visit,Dis-fol
Leminorella richardii,84.01156246,-1.116484873,0.426898032,Visit,Dis-fol
Ligilactobacillus ruminis,384.9238851,3.194678206,0.807758826,Visit,Dis-fol
Lysinibacillus fusiformis,107.7103608,-0.892048082,0.356631886,Visit,Dis-fol
Mediterraneibacter faecis,3398.236341,0.810263188,0.2527099,Visit,Dis-fol
MGYG000000286,76.27528538,0.623556027,0.192070751,Visit,Dis-fol
MGYG000000355,38.8785761,-1.10625022,0.40199731,Visit,Dis-fol
MGYG000000625,16.98676855,0.495778277,0.16484408,Visit,Dis-fol
MGYG000000860,42.76717529,1.435454898,0.183477952,Visit,Dis-fol
MGYG000001112,21.10507192,0.857069566,0.168512399,Visit,Dis-fol
MGYG000001735,696.1213371,-1.457552263,0.450986342,Visit,Dis-fol
MGYG000001807,34.73150848,-1.303331672,0.502866486,Visit,Dis-fol
MGYG000001813,65.04414807,0.783755993,0.181563364,Visit,Dis-fol
MGYG000001977,963.056113,-1.787185879,0.498160031,Visit,Dis-fol
MGYG000002209,88.18875315,-0.843873525,0.339274187,Visit,Dis-fol
MGYG000002575,61.84944865,-0.819296311,0.305703188,Visit,Dis-fol
MGYG000003021,14.14103142,0.793026416,0.164860616,Visit,Dis-fol
MGYG000003060,30.32702565,1.25614782,0.171330011,Visit,Dis-fol
MGYG000003769,475.7640197,-1.571185709,0.217531646,Visit,Dis-fol
MGYG000003882,349.4586666,-1.458305479,0.214915795,Visit,Dis-fol
MGYG000004002,11.64224781,-1.529932769,0.542926267,Visit,Dis-fol
MGYG000004180,241.9559099,-1.0198849,0.338123231,Visit,Dis-fol
MGYG000004188,21.34642986,-1.017481925,0.386970612,Visit,Dis-fol
MGYG000004380,13.72458302,1.474895686,0.395647592,Visit,Dis-fol
MGYG000004506,83.87266455,1.5174846,0.589628348,Visit,Dis-fol
MGYG000004598,58.19220405,0.481952136,0.17905099,Visit,Dis-fol
MGYG000004699,62.11081129,0.543019069,0.186556721,Visit,Dis-fol
MGYG000004711,12.68477226,-1.306647366,0.43913147,Visit,Dis-fol
MGYG000004727,147.4331563,-0.834342331,0.206315308,Visit,Dis-fol
MGYG000004824,47.49799603,-1.30409188,0.428312293,Visit,Dis-fol
MGYG000004837,27.03306741,1.500048403,0.171990801,Visit,Dis-fol
MGYG000004886,1030.892875,-0.98987359,0.260804433,Visit,Dis-fol
Odoribacter massiliensis,662.8452315,-1.810565998,0.484769806,Visit,Dis-fol
OM05-12 sp003438995,39.30253337,-0.867521592,0.337150053,Visit,Dis-fol
OM05-12 sp900760755,112.5313171,-1.100666394,0.376264663,Visit,Dis-fol
Pantoea ananatis,79.91663491,-1.344455363,0.46710036,Visit,Dis-fol
Parabacteroides acidifaciens,43.50694036,-1.06303268,0.391513106,Visit,Dis-fol
Parabacteroides chinchillae,50.61981991,-1.350727782,0.425706528,Visit,Dis-fol
Parabacteroides distasonis,23702.0655,-1.737898846,0.63138171,Visit,Dis-fol
Parabacteroides gordonii,153.6453709,-1.556739911,0.46212789,Visit,Dis-fol
Parabacteroides johnsonii,514.0882339,-1.623803926,0.445257467,Visit,Dis-fol
Parabacteroides massiliensis,183.5531385,-1.953011222,0.424638262,Visit,Dis-fol
Parabacteroides merdae,7232.182961,-1.588052071,0.55699114,Visit,Dis-fol
Parabacteroides sp003480915,69.76008831,-1.02905491,0.187373651,Visit,Dis-fol
Parabacteroides sp014287585,121.2190034,-1.915850844,0.441553658,Visit,Dis-fol
Parabacteroides sp900547435,38.86402679,-1.467176841,0.385836329,Visit,Dis-fol
Parabacteroides sp900549585,190.5018766,-1.099849818,0.329647064,Visit,Dis-fol
Parabacteroides sp900552415,18.88386625,-1.630332528,0.437611346,Visit,Dis-fol
Parabacteroides sp900760525,123.3330907,-1.346452979,0.438267548,Visit,Dis-fol
Parabacteroides timonensis,17.56398295,-1.197284827,0.41839987,Visit,Dis-fol
Paraprevotella clara,246.1779191,-1.28539341,0.368602845,Visit,Dis-fol
Paraprevotella sp003477995,583.4393316,-1.130064813,0.335918497,Visit,Dis-fol
Paraprevotella xylaniphila,182.6094773,-1.01129779,0.335287931,Visit,Dis-fol
Peptoniphilus sp902363535,9503.590121,0.940050363,0.328526738,Visit,Dis-fol
Phocaeicola coprocola,541.0631535,-1.244713642,0.432712739,Visit,Dis-fol
Phocaeicola coprophilus,194.7579833,-1.075874316,0.373511059,Visit,Dis-fol
Phocaeicola dorei,59336.08548,-1.544080781,0.583941132,Visit,Dis-fol
Phocaeicola massiliensis,2380.983181,-1.657318455,0.480481548,Visit,Dis-fol
Phocaeicola plebeius,318.5808393,-1.371414421,0.495894509,Visit,Dis-fol
Phocaeicola sartorii,5837.857352,-1.558084064,0.579993012,Visit,Dis-fol
Phocaeicola sp000436795,173.5474074,-1.450579587,0.420746521,Visit,Dis-fol
Phocaeicola sp002493165,293.7298671,-1.195747012,0.390956213,Visit,Dis-fol
Phocaeicola sp900544675,26.97569287,-1.138256931,0.347281453,Visit,Dis-fol
Phocaeicola sp900546355,47.92767858,-0.963858632,0.333566013,Visit,Dis-fol
Phocaeicola sp900551645,164.4056777,-1.2459131,0.484997343,Visit,Dis-fol
Phytobacter diazotrophicus,87.27156387,-1.285243152,0.400139801,Visit,Dis-fol
Phytobacter massiliensis,617.5118563,-1.123114589,0.227402738,Visit,Dis-fol
Phytobacter sp002377245,141.5016644,-1.602601561,0.197173086,Visit,Dis-fol
Phytobacter ursingii,632.4098802,-1.427103476,0.243440864,Visit,Dis-fol
Pluralibacter gergoviae,221.608991,-0.874075709,0.337617749,Visit,Dis-fol
Prevotella rara,137.6629813,-0.993247852,0.251825686,Visit,Dis-fol
Prevotella sp002251365,88.80981442,-1.07426025,0.321171775,Visit,Dis-fol
Prevotella stercorea,2203.976882,-1.333510034,0.423554832,Visit,Dis-fol
Providencia rettgeri,291.832589,-1.08868557,0.212873482,Visit,Dis-fol
Pseudescherichia sp002298805,178.1401664,-1.203925786,0.399632466,Visit,Dis-fol
Pseudescherichia vulneris,122.7055997,-1.413941844,0.493013585,Visit,Dis-fol
Pseudomonas aeruginosa,26031.38704,-1.078366582,0.40167227,Visit,Dis-fol
Rahnella variigena,65.36374345,-1.513028466,0.458708785,Visit,Dis-fol
Raoultella ornithinolytica,2118.622934,-1.713593269,0.271187444,Visit,Dis-fol
Robinsoniella sp900539655,480.5270204,-0.985210738,0.377444368,Visit,Dis-fol
Romboutsia timonensis,123.5333315,1.144416272,0.209350551,Visit,Dis-fol
Roseburia intestinalis,324.6655762,0.582802151,0.213301016,Visit,Dis-fol
Roseburia sp003483745,61.71515853,0.727671875,0.177872105,Visit,Dis-fol
Roseburia sp900542495,314.1268121,0.77679754,0.205333526,Visit,Dis-fol
Roseburia sp900552665,1543.661465,1.299293157,0.243479964,Visit,Dis-fol
Salmonella bongori,194.2234859,-0.800671584,0.205313541,Visit,Dis-fol
Salmonella enterica,728.3054429,-1.445481561,0.424786695,Visit,Dis-fol
Serratia marcescens,321.2572631,-1.461503683,0.234567522,Visit,Dis-fol
Slackia exigua,230.8088246,0.994097241,0.213063383,Visit,Dis-fol
Staphylococcus haemolyticus,8806.566779,1.081684597,0.346364036,Visit,Dis-fol
Staphylococcus haemolyticus,176.9328079,0.558414841,0.220198342,Visit,Dis-fol
Streptococcus anginosus,986.2029658,1.075811419,0.262118624,Visit,Dis-fol
Streptococcus equinus,90.29641169,2.118152673,0.511791323,Visit,Dis-fol
Streptococcus infantarius,405.6518229,0.890990834,0.242398033,Visit,Dis-fol
Streptococcus lutetiensis,2104.579458,1.333126073,0.27656557,Visit,Dis-fol
Streptococcus oralis,272.9045409,0.925399589,0.220649556,Visit,Dis-fol
Streptococcus salivarius,6798.763508,0.982794443,0.25544108,Visit,Dis-fol
Streptococcus sanguinis,127.5421599,0.511834999,0.209544723,Visit,Dis-fol
Streptococcus sp000187445,44770.35904,0.886405342,0.322410361,Visit,Dis-fol
Streptococcus vestibularis,4380.97559,0.904967794,0.266291262,Visit,Dis-fol
Superficieibacter sp900766525,277.4502266,-0.977587089,0.208703506,Visit,Dis-fol
Terrisporobacter sp900557165,82.61393719,1.11341742,0.192620331,Visit,Dis-fol
UBA1232 sp900544815,193.3477671,-1.139189773,0.333063863,Visit,Dis-fol
Varibaculum massiliense,1059.194727,0.805105213,0.235659665,Visit,Dis-fol
Veillonella atypica,15520.9,0.872932176,0.312407547,Visit,Dis-fol
Veillonella dispar,1761.100539,0.994466225,0.303935009,Visit,Dis-fol
Veillonella parvula,5868.896728,0.970581672,0.342669218,Visit,Dis-fol
Weissella viridescens,173.0582221,-1.541590384,0.212584794,Visit,Dis-fol
Yokenella regensburgei,90.63403389,-1.120689042,0.366361046,Visit,Dis-fol
Agathobacter rectalis,8231.250152,-2.017208785,0.507540525,Countr_fol,SA-Uganda
Blautia sp003287895,81.23405378,-1.221096354,0.398809353,Countr_fol,SA-Uganda
Collinsella sp900556445,20.99857037,1.302621789,0.402560938,Countr_fol,SA-Uganda
Dialister sp900759415,26.21694287,1.304527048,0.419189176,Countr_fol,SA-Uganda
Leptotrichia wadei,35.39319131,1.40516041,0.398016579,Countr_fol,SA-Uganda
MGYG000004598,76.30502576,-1.311788638,0.373729394,Countr_fol,SA-Uganda
Prevotella sp900553965,14.27026429,1.198498987,0.398141056,Countr_fol,SA-Uganda
Slackia isoflavoniconvertens,110.1708182,-3.6176765,0.661897835,Countr_fol,SA-Uganda
Veillonella sp000431435,8086.021468,3.48625751,0.60753747,Countr_fol,SA-Uganda
Acinetobacter junii,29.83056593,-1.71442946,0.39830586,Countr_fol,SA-Zambia
Bradyrhizobium sp000015165,332.8474448,-1.942225462,0.495667442,Countr_fol,SA-Zambia
MGYG000002931,395.7151917,-1.745257164,0.434377318,Countr_fol,SA-Zambia
Pseudomonas juntendi,82.57788246,-2.094943492,0.399925834,Countr_fol,SA-Zambia
Stenotrophomonas maltophilia,49.92985133,-1.695995832,0.42265808,Countr_fol,SA-Zambia
Alistipes sp002161445,69.30094497,1.80495572,0.414407338,Countr_fol,SA-Zimbabwe
Bacillus luti,165.6747226,-3.71469774,0.386570112,Countr_fol,SA-Zimbabwe
Bariatricus comes,1264.703342,-1.843381457,0.483843319,Countr_fol,SA-Zimbabwe
Bifidobacterium gallicum,98.51429033,1.446055498,0.393807577,Countr_fol,SA-Zimbabwe
Bifidobacterium gallinarum,293.4356897,1.251405654,0.43025081,Countr_fol,SA-Zimbabwe
CAG-485 sp900554845,213.7827849,1.539294088,0.456645045,Countr_fol,SA-Zimbabwe
Clostridium perfringens,1062.840974,-1.469513827,0.46718616,Countr_fol,SA-Zimbabwe
Collinsella aerofaciens,157.1762821,2.621604565,0.719238272,Countr_fol,SA-Zimbabwe
Collinsella sp900541015,114.8813552,1.213422112,0.41178167,Countr_fol,SA-Zimbabwe
Collinsella sp900757285,114.2127467,2.009152745,0.371981758,Countr_fol,SA-Zimbabwe
Dorea longicatena,598.1606236,-1.479163327,0.409945807,Countr_fol,SA-Zimbabwe
Dorea sp900550865,298.4241949,-1.322360005,0.386696754,Countr_fol,SA-Zimbabwe
Mediterraneibacter faecis,4891.481878,-1.778362427,0.457563548,Countr_fol,SA-Zimbabwe
MGYG000002122,70.27896144,1.131613791,0.384580937,Countr_fol,SA-Zimbabwe
MGYG000002753,99.718834,1.225904192,0.389092999,Countr_fol,SA-Zimbabwe
MGYG000002759,198.9465347,1.699125133,0.470806618,Countr_fol,SA-Zimbabwe
MGYG000003045,84.52467851,1.764340647,0.369924716,Countr_fol,SA-Zimbabwe
MGYG000004364,764.0067574,2.101677726,0.432762502,Countr_fol,SA-Zimbabwe
MGYG000004506,90.17842945,1.798467328,0.392616888,Countr_fol,SA-Zimbabwe
MGYG000004549,51.04301326,1.870033961,0.354074719,Countr_fol,SA-Zimbabwe
MGYG000004630,43.80672462,1.404039487,0.399882049,Countr_fol,SA-Zimbabwe
Paenibacillus lactis,563.6383435,1.581974139,0.443791098,Countr_fol,SA-Zimbabwe
Phascolarctobacterium succinatutens,143.8324767,-6.132128597,1.044527824,Countr_fol,SA-Zimbabwe
Prevotella sp900544825,2246.806637,-2.887526726,0.444021197,Countr_fol,SA-Zimbabwe
Prevotella sp900548535,1047.251462,-1.697603903,0.36633265,Countr_fol,SA-Zimbabwe
Prevotella sp900556795,6888.658237,-2.031239298,0.438783746,Countr_fol,SA-Zimbabwe
Roseburia sp900552665,2347.068975,-1.58519931,0.47021486,Countr_fol,SA-Zimbabwe
Corynebacterium amycolatum,638.961908,-1.93032022,0.587434893,Countr_fol,Uganda-Zambia
Kocuria rhizophila,37.32046983,-2.152944516,0.473407587,Countr_fol,Uganda-Zambia
MGYG000000763,1791.830722,-4.63685403,1.481024455,Countr_fol,Uganda-Zambia
MGYG000003897,1336.549169,-4.991395968,1.102629691,Countr_fol,Uganda-Zambia
MGYG000004598,76.30502576,2.238173732,0.474979718,Countr_fol,Uganda-Zambia
Micrococcus luteus,237.1779488,-1.735218472,0.470557475,Countr_fol,Uganda-Zambia
Porphyromonas asaccharolytica,3974.722832,-5.292293671,1.495890107,Countr_fol,Uganda-Zambia
Porphyromonas sp900538385,4184.556262,-4.41530051,1.405562862,Countr_fol,Uganda-Zambia
Porphyromonas sp900548415,1437.408068,-4.037092327,1.397076136,Countr_fol,Uganda-Zambia
Pseudomonas aeruginosa,9066.128151,-2.415437801,0.526285729,Countr_fol,Uganda-Zambia
Pseudomonas fulva,345.13224,-1.605326972,0.492181752,Countr_fol,Uganda-Zambia
Stenotrophomonas maltophilia,49.92985133,-1.444414176,0.462795504,Countr_fol,Uganda-Zambia
Bacillus luti,165.6747226,-3.233843952,0.453656717,Countr_fol,Uganda-Zimbabwe
Fenollaria timonensis,10626.84187,-2.096632228,0.622341225,Countr_fol,Uganda-Zimbabwe
MGYG000004598,76.30502576,1.539901025,0.443646388,Countr_fol,Uganda-Zimbabwe
Parabacteroides sp900549585,75.13892424,-1.314729652,0.447216713,Countr_fol,Uganda-Zimbabwe
Prevotella sp002251295,178.9452559,-1.668378641,0.432734784,Countr_fol,Uganda-Zimbabwe
Prevotella sp900544825,2246.806637,-2.434104116,0.584925431,Countr_fol,Uganda-Zimbabwe
Prevotella sp900548535,1047.251462,-2.226151509,0.440646643,Countr_fol,Uganda-Zimbabwe
Prevotella sp900552675,56.39093863,-1.602903546,0.408630062,Countr_fol,Uganda-Zimbabwe
Prevotella sp900556795,6888.658237,-2.742467097,0.504363993,Countr_fol,Uganda-Zimbabwe
Prevotella sp900557255,20447.90928,-3.774856771,0.646074199,Countr_fol,Uganda-Zimbabwe
Prevotella sp900767615,1007.273265,-2.061761775,0.491351966,Countr_fol,Uganda-Zimbabwe
Prevotella sp900772835,24.67913354,-2.035804104,0.412109146,Countr_fol,Uganda-Zimbabwe
Prevotellamassilia sp900540885,238.7892431,-2.171875307,0.409954329,Countr_fol,Uganda-Zimbabwe
Bacillus luti,165.6747226,-3.931469093,0.48556558,Countr_fol,Zambia-Zimbabwe
Dorea sp900550865,298.4241949,-2.071317258,0.47712817,Countr_fol,Zambia-Zimbabwe
MGYG000002046,103.7500302,1.94751738,0.424505574,Countr_fol,Zambia-Zimbabwe
Prevotella sp000436915,178.4936712,-1.751721412,0.498506864,Countr_fol,Zambia-Zimbabwe
Prevotella sp900544825,2246.806637,-2.811924476,0.621514291,Countr_fol,Zambia-Zimbabwe
Prevotella sp900546535,1708.595265,-3.020061204,0.645119392,Countr_fol,Zambia-Zimbabwe
Prevotella sp900548535,1047.251462,-2.31776698,0.509940785,Countr_fol,Zambia-Zimbabwe
Prevotella sp900552675,56.39093863,-1.274189792,0.445568293,Countr_fol,Zambia-Zimbabwe
Prevotella sp900553155,149.4240897,-1.612601498,0.465655365,Countr_fol,Zambia-Zimbabwe
Prevotella sp900556795,6888.658237,-2.34602568,0.587733881,Countr_fol,Zambia-Zimbabwe
Prevotella sp900557255,20447.90928,-4.371286332,0.83615465,Countr_fol,Zambia-Zimbabwe
Prevotella sp900767615,1007.273265,-2.587365997,0.568730736,Countr_fol,Zambia-Zimbabwe
Prevotella sp900772835,24.67913354,-1.509030465,0.432484073,Countr_fol,Zambia-Zimbabwe
Pseudomonas citronellolis,457.7486797,1.538706809,0.401050264,Countr_fol,Zambia-Zimbabwe
Pseudomonas extremaustralis,84.47576308,1.524636732,0.461800843,Countr_fol,Zambia-Zimbabwe
Pseudomonas juntendi,82.57788246,1.357239463,0.428201407,Countr_fol,Zambia-Zimbabwe
Pseudomonas putida,90.47974703,1.322024957,0.421543378,Countr_fol,Zambia-Zimbabwe
Pseudomonas sp900766265,89.9105348,1.381253849,0.40006078,Countr_fol,Zambia-Zimbabwe
Stenotrophomonas maltophilia,77.77025735,1.212194989,0.392460597,Countr_fol,Zambia-Zimbabwe
